NPRI_ID,Facility_name,Company_name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Report_year
6850,Camrose Batch Plant,Border Paving Ltd.,4217 41st Street,Camrose,Alberta,T4V3V8,53,-112.8,0.21,Tonnes (t),2017
21956,Cadomin Quarry,Lehigh Hanson Materials Ltd.,10 PO Box,Cadomin,Alberta,T0E0E0,53,-117.32,2.52,Tonnes (t),2017
23891,Pbn Hz 12-29-46-5 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53,-114.67,-,Tonnes (t),2017
23901,Pbn Pembina Hz 5-31-46-5 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53,-114.7,-,Tonnes (t),2017
24666,Pbn et Al Minhik 13-32-46-5,Petrobakken Energy Ltd.,,N/A,Alberta,,53,-114.69,-,Tonnes (t),2017
24674,Pbn Hz 15-32-46-5 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53,-114.68,-,Tonnes (t),2017
24691,Pbn 9-25-46-5 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53,-115.75,-,Tonnes (t),2017
29410,Mark Pembina 02-35-046-02w5,Inplay Oil Corp.,,Mark Pembina,Alberta,,53,-114.18,-,Tonnes (t),2017
15742,Encal Columbia 16-33-46-16w5,Taqa North Ltd.,,Columbia,Alberta,,53.01,-116.25,-,Tonnes (t),2017
22390,Archer Bruce,Sequoia Resources Corp.,,,Alberta,,53.01,-112.19,-,Tonnes (t),2017
24669,Pbn Hz Minhik 13-34-46-5 Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53.01,-114.62,-,Tonnes (t),2017
28252,Wildmere 14-32-046-04w4 Pad,Harvest Operations Corp.,,N/A,Alberta,,53.01,-110.55,-,Tonnes (t),2017
4008,Shaw Pipe Protection - Camrose 54st,Shawcor,5410 39th Street,Camrose,Alberta,T4V4E7,53.02,-112.81,3.14,Tonnes (t),2017
16101,Brazeau Trd,Tervita Corp.,,Brazeau,Alberta,,53.02,-115.53,-,Tonnes (t),2017
17136,Cargill Animal Nutrition,Cargill Animal Nutrition,0,Camrose,Alberta,T4V1X2,53.02,-112.94,74.08,Tonnes (t),2017
23192,Shaw Pipe Protection Ltd - Camrose 39st,Shawcor,5117 39th Street,Camrose,Alberta,T4V4B4,53.02,-112.8,5.15,Tonnes (t),2017
24639,Pbn 5-3-47-5 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53.02,-114.63,-,Tonnes (t),2017
25140,Buck Creek Trd,Tervita Corp.,,Buck Creek,Alberta,,53.02,-114.85,-,Tonnes (t),2017
27784,Camrose Tubulars,Canadian National Steel Corporation,5302 39th Street,Camrose,Alberta,T4V 2N8,53.02,-112.8,23.01,Tonnes (t),2017
4152,West Pembina Gp,Keyera Corp,,Drayton Valley,Alberta,,53.03,-115.95,0.74,Tonnes (t),2017
6942,Irma Compressor Station,Alliance Pipeline Ltd.,,Irma,Alberta,T0B2H0,53.03,-111.22,-,Tonnes (t),2017
15676,Vernon Lake Sweet Gas Plant,Pine Cliff Energy Ltd.,,,Alberta,,53.03,-111.4,-,Tonnes (t),2017
16826,Countess 10-04-021-16w4,Journey Energy Inc.,,,Alberta, ,53.03,-114.37,-,Tonnes (t),2017
21840,Pembina Blue Rapids 04-08-047-09w5,Taqa North Ltd.,,Blue Rapids,Alberta,,53.03,-115.29,0.66,Tonnes (t),2017
24642,Pbn Hz 8-12-47-2 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53.03,-114.17,-,Tonnes (t),2017
24658,Pbn 13-4-47-5 Oil Swb,Petrobakken Energy Ltd.,,N/A,Alberta,,53.03,-114.65,-,Tonnes (t),2017
