ProjectID,Cluster,SITE,STATION,Latitude,Longitude,RECORDING_DATE,RECORD_TIME,Method,SPECIES_CODE,NumberDetected,Genus,Species,ENGLISH_NAME
Y,8,228,CT,57.58329,-111.46195,03-Jun-12,2:00:00,3 min w 7 min visual scan,CONI,1,Chordeiles,minor,Common Nighthawk
Y,8,228,CT,57.58329,-111.46195,03-Jun-12,2:00:00,3 min w 7 min visual scan,WTSP,1,Zonotrichia,albicollis,White-throated Sparrow
Y,8,228,CT,57.58329,-111.46195,03-Jun-12,0:00:00,3 min w 7 min visual scan,WISN,2,Gallinago,delicata,Wilson's Snipe
OW,4,13,NE,55.75793,-112.54916,19-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,5,14,CT,54.85342,-111.63025,19-Mar-13,0:00:00,10 minutes,BCFR,1,Pseudacris, maculata,Boreal Chorus Frog
OW,5,16,SW,54.88631,-111.82633,21-Mar-13,0:00:00,10 minutes,BADO,1,Strix,varia,Barred Owl
OW,5,16,SE,54.88648,-111.80139,21-Mar-13,0:00:00,10 minutes,BOOW,1,Aegolius,funereus,Boreal Owl
OW,4,13,SW,55.74323,-112.57407,22-Mar-13,0:00:00,10 minutes,COYT,1,Canis,latrans,Coyote
OW,4,12,SW,55.71469,-112.45558,22-Mar-13,0:00:00,10 minutes,NSWO,1,Aegolius,acadicus,Northern Saw-whet Owl
OW,4,11,CT,55.72309,-112.49112,23-Mar-13,0:00:00,10 minutes,BBMA,1,Pica,hudsonia,Black-billed Magpie
OW,4,11,NE,55.73151,-112.48072,23-Mar-13,0:00:00,10 minutes,BCFR,1,Pseudacris, maculata,Boreal Chorus Frog
OW,5,16,NE,54.90086,-111.80167,23-Mar-13,0:00:00,10 minutes,BADO,1,Strix,varia,Barred Owl
OW,5,16,NE,54.90086,-111.80167,23-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,1,1,CT,55.4447,-111.11791,23-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,1,1,SE,55.43776,-111.10535,23-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,1,1,NE,55.45184,-111.10526,23-Mar-13,0:00:00,10 minutes,BADO,1,Strix,varia,Barred Owl
OW,5,16,SW,54.88631,-111.82633,24-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,4,12,NW,55.72906,-112.45612,25-Mar-13,0:00:00,10 minutes,AMCR,1,Corvus,brachyrhynchos,American Crow
OW,5,16,NE,54.90086,-111.80167,25-Mar-13,0:00:00,10 minutes,BADO,1,Strix,varia,Barred Owl
OW,2,6,C2,55.81401,-111.45588,25-Mar-13,0:00:00,10 minutes,COYT,1,Canis,latrans,Coyote
OW,2,6,SW,55.80692,-111.44969,25-Mar-13,0:00:00,10 minutes,COYT,1,Canis,latrans,Coyote
OW,1,3,NE,55.3501,-111.13975,26-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,5,16,W1,54.88556,-111.79453,27-Mar-13,0:00:00,10 minutes,COYT,1,Canis,latrans,Coyote
OW,1,3,SW,55.33581,-111.16496,27-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
OW,4,12,W1,55.72773,-112.3301,28-Mar-13,0:00:00,10 minutes,BOOW,1,Aegolius,funereus,Boreal Owl
OW,1,3,SE,55.33572,-111.1397,28-Mar-13,0:00:00,10 minutes,GHOW,1,Bubo,virginianus,Great Horned Owl
